Ad Daqahliyah	442	540	6711000	5559000	4989997	
Al Bahr al Ahmar	580	240	420000	321000	288661	
Al Buhayrah	380	520	6440000	5327000	4747283	
Al Fayyum	382	455	3794000	2882000	2511027	
Al Gharbiyah	418	537	5203000	4439000	4011320	
Al Iskandariyah	340	538	5342000	4509000	4123869	
Al Isma`iliyah	500	526	1370000	1077000	953006	
Al Jizah	340	444	8957000	6979000	5724545	
Al Minufiyah	417	516	4476000	3657000	3270431	
Al Minya	370	390	5802000	4701000	4166299	
Al Qahirah	460	470	9862000	8762000	8471859	
Al Qalyubiyah	437	500	5849000	4754000	4251672	
Al Uqsur	520	245	1331000	1064000	457286	
Al Wadi al Jadid	270	190	306000	208000	187263	
As Suways	490	475	814000	576000	512135	
Ash Sharqiyah	458	518	7443000	6010000	5354041	
Aswan	530	120	1573000	1323000	1186482	
Asyut	420	334	4624000	3888000	3444967	
Bani Suwayf	382	423	3317000	2597000	2291618	
Bur Sa`id	500	548	824000	628000	570603	
Dumyat	458	562	1601000	1240000	1097339	
Janub Sina'	600	420	111000	159000	150088	
Kafr ash Shaykh	417	560	3524000	2940000	2620208	
Matrouh	176	475	506000	389000	323381	
Qina	500	270	3345000	2801000	3001681	
Shamal Sina'	580	518	514000	395000	343681	
Suhaj	465	282	5221000	4211000	3747289	
